Item No.,Item Name,Description,Quantity,Price per unit (USD),Total Price (USD),Link
1,Battery Holder,BAT-HLD-001-THM,1,0.145,0.145,https://www.lcsc.com/product-detail/C22417572.html
2,Capacitor,100nF MLCC 0402,2,0.0009,0.0018,https://www.lcsc.com/product-detail/C85953.html
3,Schottky Diode,1N5819 SMA,1,0.0033,0.0033,https://www.lcsc.com/product-detail/C437199.html
4,LED Yellow-Green,YLED0402YG 0402,1,0.0022,0.0022,https://www.lcsc.com/product-detail/C20608783.html
5,RGB LED,WS2812B-V5/W 5050,1,0.0162,0.0162,https://www.lcsc.com/product-detail/C2874885.html
6,Resistor,5.1kΩ 0402 5%,2,0.0003,0.0006,https://www.lcsc.com/product-detail/C325524.html
7,Resistor,47Ω 0402,2,0.0013,0.0026,https://www.lcsc.com/product-detail/C103066.html
8,Resistor,1.2kΩ 0402 5%,1,0.0003,0.0003,https://www.lcsc.com/product-detail/C325564.html
9,Resistor,27Ω 0402,2,0.0002,0.0004,https://www.lcsc.com/product-detail/C208978.html
10,Resistor,1kΩ 0402 1%,1,0.0023,0.0023,https://www.lcsc.com/product-detail/C136974.html
11,Microcontroller,ATtiny85 SOIC-8 20MHz,1,0.365,0.365,https://www.lcsc.com/product-detail/C31540447.html
12,LiPo Charger IC,TP4056 ESOP-8 1A,1,0.0106,0.0106,https://www.lcsc.com/product-detail/C49045948.html
13,LED Red,YLED0402R 0402,1,0.0019,0.0019,https://www.lcsc.com/product-detail/C21260817.html
14,MCU Pads,Solder Pads for MCU,1,0.0,0.0,N/A
15,USB-C Connector,MC-402L68 USB-C SMD,1,0.0103,0.0103,https://www.lcsc.com/product-detail/C47326494.html
16,PCB,Custom PCB fabrication ,5,0.5,2.5,N/A
,TOTAL,Grand Total,,,3.0625,
